sortTime,departureTime_timeAMPM,departureTime_time24,arrivalTime_timeAMPM,arrivalTime_time24,carrier_fs,carrier_name,carrier_flightNumber,operatedBy,url,airport_fs,airport_city,isCodeshare
2024-03-28T06:55:00.000Z,12:00PM,12:00,1:55PM,13:55,EY,Etihad Airways,7133,Operated by Garuda Indonesia 149,/flight-tracker/EY/7133?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026395,PDG,Padang,TRUE
2024-03-28T06:55:00.000Z,12:10PM,12:10,1:55PM,13:55,GA,Garuda Indonesia,155,,/flight-tracker/GA/155?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026393,BTH,Batam,
2024-03-28T06:55:00.000Z,12:40PM,12:40,1:55PM,13:55,SJV,Super Air Jet,835,,/flight-tracker/SJV/835?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031985,BKS,Bengkulu,
2024-03-28T06:55:00.000Z,12:45PM,12:45,1:55PM,13:55,GA,Garuda Indonesia,1374,,/flight-tracker/GA/1374?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026406,PGK,Pangkal Pinang,
2024-03-28T07:00:00.000Z,12:35PM,12:35,2:00PM,14:00,JT*,Lion Air,891,,/flight-tracker/JT*/891?year=2024&amp;month=3&amp;date=28&amp;flightId=1243034906,UPG,Ujung Pandang,
2024-03-28T07:00:00.000Z,1:05PM,13:05,2:15PM,14:15,GA,Garuda Indonesia,821,,/flight-tracker/GA/821?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026536,KUL,Kuala Lumpur,
2024-03-28T07:00:00.000Z,1:05PM,13:05,2:15PM,14:15,MH,Malaysia Airlines,5893,Operated by Garuda Indonesia 821,/flight-tracker/MH/5893?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026536,KUL,Kuala Lumpur,TRUE
2024-03-28T07:00:00.000Z,1:05PM,13:05,2:15PM,14:15,SV,Saudia,6381,Operated by Garuda Indonesia 821,/flight-tracker/SV/6381?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026536,KUL,Kuala Lumpur,TRUE
2024-03-28T07:00:00.000Z,1:05PM,13:05,2:15PM,14:15,WY,Oman Air,5711,Operated by Garuda Indonesia 821,/flight-tracker/WY/5711?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026536,KUL,Kuala Lumpur,TRUE
2024-03-28T07:00:00.000Z,1:10PM,13:10,2:00PM,14:00,JT*,Lion Air,325,,/flight-tracker/JT*/325?year=2024&amp;month=3&amp;date=28&amp;flightId=1243034684,BDJ,Banjarmasin,
2024-03-28T07:00:00.000Z,12:45PM,12:45,2:00PM,14:00,CTV,Citilink,965,,/flight-tracker/CTV/965?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053764,DJB,Jambi,
2024-03-28T07:00:00.000Z,12:50PM,12:50,2:00PM,14:00,ID*,Batik Air,6345,,/flight-tracker/ID*/6345?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031182,YIA,Yogyakarta,
2024-03-28T07:05:00.000Z,11:05AM,11:05,2:05PM,14:05,GA,Garuda Indonesia,141,,/flight-tracker/GA/141?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026404,BTJ,Banda Aceh,
2024-03-28T07:05:00.000Z,5:15PM,17:15,6:20PM,18:20,JT*,Lion Air,757,,/flight-tracker/JT*/757?year=2024&amp;month=3&amp;date=28&amp;flightId=1243034826,BPN,Balikpapan,
2024-03-28T07:05:00.000Z,1:10PM,13:10,2:05PM,14:05,QZ,Indonesia AirAsia,205,,/flight-tracker/QZ/205?year=2024&amp;month=3&amp;date=28&amp;flightId=1243054955,KUL,Kuala Lumpur,
2024-03-28T07:10:00.000Z,1:05PM,13:05,2:10PM,14:10,ID*,Batik Air,6337,,/flight-tracker/ID*/6337?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031201,SRG,Semarang,
2024-03-28T07:15:00.000Z,3:05AM,03:05,2:15PM,14:15,EY,Etihad Airways,474,,/flight-tracker/EY/474?year=2024&amp;month=3&amp;date=28&amp;flightId=1243019806,AUH,Abu Dhabi,
2024-03-28T07:15:00.000Z,3:05AM,03:05,2:15PM,14:15,GA,Garuda Indonesia,9046,Operated by Etihad Airways 474,/flight-tracker/GA/9046?year=2024&amp;month=3&amp;date=28&amp;flightId=1243019806,AUH,Abu Dhabi,TRUE
2024-03-28T07:15:00.000Z,3:05AM,03:05,2:15PM,14:15,MS,EgyptAir,8126,Operated by Etihad Airways 474,/flight-tracker/MS/8126?year=2024&amp;month=3&amp;date=28&amp;flightId=1243019806,AUH,Abu Dhabi,TRUE
2024-03-28T07:15:00.000Z,3:05AM,03:05,2:15PM,14:15,XY,Flynas,3474,Operated by Etihad Airways 474,/flight-tracker/XY/3474?year=2024&amp;month=3&amp;date=28&amp;flightId=1243019806,AUH,Abu Dhabi,TRUE
2024-03-28T07:15:00.000Z,1:20PM,13:20,2:15PM,14:15,SJV,Super Air Jet,733,,/flight-tracker/SJV/733?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031941,DPS,Denpasar,
